iter	Passed	Remaining
330	2865941	40426225
331	2874718	40419228
332	2883553	40413045
333	2892260	40405051
334	2900803	40394774
335	2910262	40397219
336	2918634	40384553
337	2926959	40371262
338	2935537	40361468
339	2944279	40353943
340	2952630	40341077
341	2961284	40332345
342	2969852	40322460
343	2978294	40310864
344	2987401	40308268
345	2996920	40311184
346	3005605	40302826
347	3014509	40297403
348	3023342	40291022
349	3031811	40279783
350	3040768	40275025
351	3049210	40263437
352	3058583	40264129
353	3067987	40265173
354	3076863	40259241
355	3085804	40254145
356	3094546	40246442
357	3103108	40236401
358	3111891	40229218
359	3120355	40217911
360	3129352	40213476
361	3138986	40217176
362	3148483	40219055
363	3157087	40209497
364	3165512	40197668
365	3174259	40189940
366	3182690	40178213
367	3191389	40169875
368	3200471	40166356
369	3208718	40152345
370	3216964	40138348
371	3225015	40121964
372	3233393	40109685
373	3242097	40101449
374	3250734	40092398
375	3259037	40079233
376	3267485	40067869
377	3275910	40056236
378	3284224	40043278
379	3292273	40027109
380	3302116	40032745
381	3310347	40018811
382	3318548	40004535
383	3326836	39991348
384	3335712	39985228
385	3344409	39976952
386	3353577	39974293
387	3362399	39967486
388	3371257	39961099
389	3380170	39955354
390	3388882	39947205
391	3397998	39943815
392	3407019	39939281
393	3415925	39933386
394	3424767	39926719
395	3433497	39918745
396	3442018	39908339
397	3450841	39901443
398	3460766	39907233
399	3471953	39927461
400	3482639	39941790
401	3491554	39935734
402	3499956	39923816
403	3508117	39909176
404	3516200	39893681
405	3524327	39878721
406	3533412	39874605
407	3541836	39863017
408	3550037	39848953
409	3558174	39834192
410	3566784	39824750
411	3575198	39813137
412	3583634	39801775
413	3591854	39788034
414	3600612	39780256
415	3609267	39771350
416	3617377	39756452
417	3625268	39739188
418	3633452	39725167
419	3641912	39714183
420	3650225	39701623
421	3658679	39690602
422	3667193	39680243
423	3675650	39669279
424	3683681	39653747
425	3691810	39639294
426	3700384	39629649
427	3708702	39617265
428	3717674	39611868
429	3725864	39598137
430	3734054	39584441
431	3742656	39575124
432	3750706	39559987
433	3759339	39551021
434	3767924	39541552
435	3776043	39527212
436	3784078	39512012
437	3792114	39496862
438	3800468	39485050
439	3808584	39470789
440	3816773	39457298
441	3824875	39442951
442	3833058	39429448
443	3841150	39415048
444	3849293	39401197
445	3857910	39392206
446	3867169	39389760
447	3875304	39375861
448	3883690	39364528
449	3891766	39350079
450	3899965	39336900
451	3908175	39323851
452	3916347	39310442
453	3924929	39301163
454	3933642	39293201
455	3941815	39279840
456	3949770	39264347
457	3957912	39250740
458	3966101	39237616
459	3974569	39227275
460	3982597	39212607
461	3990724	39198930
462	3999395	39190622
463	4009846	39199707
464	4018828	39194383
465	4027905	39189965
466	4037073	39186408
467	4045204	39172790
468	4053355	39159392
469	4062268	39153349
470	4070951	39145098
471	4079322	39133837
472	4087370	39119505
473	4096121	39111914
474	4104520	39100961
475	4112715	39088080
476	4121107	39077087
477	4129356	39064745
478	4137774	39054028
479	4145758	39039222
480	4153922	39026142
481	4162059	39012827
482	4170056	38998234
483	4179431	38996518
484	4187528	38982872
485	4195812	38970979
486	4204203	38960104
487	4212511	38948469
488	4220644	38935230
489	4228616	38920531
490	4236792	38907734
491	4245050	38895704
492	4253273	38883373
493	4261531	38871381
494	4269488	38856660
495	4277927	38846341
496	4286209	38834614
497	4294435	38822384
498	4303689	38819453
499	4312115	38809039
500	4321179	38804362
501	4329395	38792071
502	4337824	38781699
503	4346074	38769746
504	4354729	38761404
505	4363546	38754499
506	4371698	38741696
507	4380350	38733337
508	4388388	38719551
509	4396579	38707145
510	4404993	38696705
511	4413443	38686589
512	4421299	38671287
513	4429275	38657060
514	4437442	38644527
515	4445934	38634827
516	4454203	38623195
517	4462468	38611549
518	4470788	38600393
519	4479274	38590669
520	4487835	38581600
521	4496376	38572366
522	4505613	38569087
523	4516602	38580750
524	4526419	38582339
525	4535147	38574618
526	4545162	38577822
527	4554155	38572315
528	4563828	38572550
529	4573030	38568770
530	4583179	38572939
531	4591648	38562943
532	4599736	38549764
533	4608405	38541458
534	4616953	38532144
535	4625549	38523236
536	4633935	38512574
537	4642198	38500914
538	4650419	38488906
539	4659101	38480729
540	4667460	38469878
541	4676020	38460698
542	4684627	38451903
543	4693035	38441480
544	4701935	38435088
545	4710755	38428033
546	4719215	38418034
547	4727520	38406788
548	4735879	38395989
549	4744112	38384185
550	4752837	38376363
551	4761006	38364053
552	4769151	38351570
553	4777301	38339141
554	4785503	38327139
555	4793866	38316444
556	4805028	38328080
557	4817045	38346447
558	4830416	38375456
559	4842558	38394567
560	4854567	38412525
561	4867803	38440054
562	4879028	38451596
563	4890506	38465046
564	4901915	38477865
565	4913795	38494294
566	4925697	38510788
567	4937011	38522595
568	4948486	38535576
569	4959497	38544868
570	4970553	38554430
571	4981918	38566320
572	4993227	38577695
573	5004811	38591105
574	5016967	38608833
575	5028151	38619000
576	5039579	38630953
577	5050875	38641822
578	5062006	38651345
579	5073764	38665581
580	5085008	38675822
581	5096195	38685554
582	5107264	38694318
583	5118485	38704167
584	5129945	38715744
585	5141510	38728032
586	5152716	38737539
587	5165067	38755573
588	5176220	38764529
589	5187264	38772604
590	5198885	38784919
591	5210885	38799973
592	5223920	38822624
593	5235241	38832450
594	5246538	38842018
595	5257961	38852450
596	5269180	38861306
597	5281077	38875085
598	5292747	38887114
599	5303917	38895394
600	5317736	38923003
601	5328924	38931247
602	5340154	38939736
603	5352611	38957085
604	5363991	38966516
605	5375427	38976285
606	5386720	38984945
607	5397955	38993125
608	5409382	39002622
609	5420768	39011759
610	5431912	39019086
611	5443180	39027249
612	5454551	39036080
613	5465629	39042750
614	5480266	39074747
615	5492500	39089484
616	5503596	39096052
617	5515525	39108469
618	5526899	39116873
619	5538705	39128274
620	5550563	39139964
621	5564488	39166128
622	5575744	39173408
623	5586982	39180503
624	5604321	39230253
625	5619366	39263754
626	5630791	39271849
627	5642201	39279782
628	5654956	39297003
629	5666627	39306603
630	5678281	39316024
631	5689422	39321828
632	5700910	39329974
633	5712686	39340046
634	5725016	39353850
635	5737599	39369316
636	5749800	39382071
637	5761823	39393533
638	5773797	39404586
639	5785809	39415824
640	5798050	39428549
641	5812085	39453377
642	5826178	39478476
643	5839319	39497012
644	5852463	39515471
645	5865924	39535966
646	5878875	39552925
647	5892200	39572306
648	5905755	39593133
649	5918494	39608384
650	5930481	39618533
651	5942497	39628803
652	5957552	39659236
653	5969351	39667893
654	5981749	39680460
655	5993778	39690506
656	6007365	39710789
657	6022344	39740149
658	6037078	39767766
659	6054707	39814288
660	6071619	39855911
661	6083565	39864814
662	6096148	39877821
663	6108990	39892446
664	6129139	39954613
665	6142427	39971891
666	6154836	39983368
667	6167143	39994110
668	6179220	40003292
669	6191782	40015550
670	6204066	40025934
671	6217737	40045187
672	6221878	40003073
673	6225089	39955100
674	6228415	39907996
675	6245364	39948157
676	6261586	39983510
677	6278203	40021232
678	6295453	40062817
679	6314689	40116850
680	6331829	40157376
681	6345406	40175169
682	6362162	40212967
683	6377462	40241415
684	6391057	40259000
685	6404684	40276692
686	6418373	40294678
687	6431890	40311497
688	6452370	40371801
689	6466683	40393341
690	6480459	40411433
691	6494300	40429834
692	6507919	40446764
693	6521566	40463782
694	6536822	40490674
695	6550535	40507911
696	6564425	40526141
697	6577743	40540760
698	6591792	40559800
699	6605525	40576799
700	6617697	40584139
701	6629284	40587844
702	6641165	40593297
703	6653473	40601311
704	6665100	40605113
705	6677006	40610574
706	6689987	40622511
707	6702424	40631083
708	6715218	40641755
709	6729859	40663518
710	6743564	40679533
711	6756824	40692786
712	6770122	40706189
713	6783466	40719798
714	6796817	40733373
715	6809779	40744545
716	6823320	40759108
717	6836661	40772403
718	6851709	40795784
719	6866830	40819491
720	6881873	40842632
721	6896891	40865513
722	6911773	40887488
723	6926779	40910095
724	6941832	40932871
725	6957147	40957093
726	6969973	40966573
727	6982923	40976713
728	6996173	40988552
729	7009142	40998683
730	7022686	41012102
731	7036296	41025836
732	7049387	41036476
733	7062539	41047405
734	7075225	41055560
735	7088439	41066722
736	7102023	41079956
737	7117135	41101941
738	7131685	41120582
739	7145466	41134712
740	7159558	41150552
741	7175982	41179693
742	7190730	41199110
743	7203929	41209572
744	7215286	41209457
745	7226459	41208253
746	7237828	41208143
747	7248903	41206332
748	7261618	41213807
749	7273843	41218444
750	7286117	41223318
751	7298376	41228063
752	7310699	41233122
753	7323891	41243026
754	7336676	41250584
755	7348993	41255459
756	7362186	41265202
757	7377326	41285778
758	7392829	41308284
759	7408533	41331816
760	7423742	41352488
761	7437140	41362996
762	7449360	41366896
763	7461671	41371257
764	7473945	41375373
765	7486114	41378864
766	7498508	41383554
767	7510726	41387232
768	7522753	41389817
769	7534604	41391396
770	7546376	41392512
771	7558401	41394978
772	7570152	41395902
773	7582085	41397794
774	7593860	41398786
775	7605754	41400395
776	7617473	41401016
777	7630189	41407017
778	7642324	41409820
779	7654157	41410952
780	7665833	41411203
781	7677214	41409835
782	7689039	41410827
783	7701447	41414927
784	7714236	41421027
785	7726076	41421995
786	7737934	41423021
787	7749702	41423538
788	7761860	41426103
789	7775040	41434075
790	7788742	41444773
791	7802960	41458155
792	7816124	41465868
793	7827659	41464907
794	7839422	41465119
795	7851097	41464842
796	7863084	41466177
797	7874904	41466602
798	7886613	41466410
799	7898677	41468055
800	7910471	41468250
801	7922334	41468777
802	7934610	41471430
803	7946850	41473861
804	7958590	41473650
805	7970282	41473156
806	7982047	41473018
807	7993555	41471513
808	8005391	41471689
809	8017150	41471433
810	8029249	41472906
811	8041636	41475831
812	8053331	41475151
813	8065224	41475468
814	8076762	41473930
815	8088469	41473231
816	8100231	41472789
817	8111748	41471064
818	8123508	41470560
819	8135454	41470975
820	8147129	41469980
821	8158938	41469643
822	8170759	41469334
823	8182348	41467822
824	8194071	41466968
825	8206006	41467155
826	8217671	41465954
827	8229996	41468049
828	8241767	41467325
829	8253476	41466263
830	8265117	41464831
831	8276831	41463740
832	8288470	41462253
833	8300030	41460342
834	8311582	41458375
835	8322953	41455477
836	8333950	41450699
837	8345583	41449067
838	8356791	41445301
839	8367844	41440752
840	8379619	41439757
841	8391570	41439608
842	8403083	41437270
843	8414678	41435314
844	8426418	41434047
845	8437728	41430643
846	8449109	41427570
847	8460405	41424061
848	8471767	41420856
849	8483231	41418129
850	8494708	41415446
851	8506063	41412149
852	8517447	41408973
853	8529437	41408720
854	8541264	41407652
855	8552691	41404619
856	8564105	41401504
857	8575230	41396974
858	8586493	41393098
859	8597693	41388895
860	8609029	41385333
861	8620256	41381231
862	8631776	41378514
863	8643077	41374732
864	8654478	41371409
865	8665838	41367872
866	8677372	41365145
867	8688431	41360136
868	8699752	41356362
869	8711076	41352579
870	8722286	41348245
871	8733505	41343932
872	8745094	41341359
873	8756456	41337687
874	8767786	41333852
875	8779178	41330289
876	8790503	41326392
877	8801721	41321979
878	8813245	41318983
879	8824391	41314198
880	8836690	41314788
881	8847600	41308866
882	8859031	41305358
883	8870312	41301139
884	8881438	41296179
885	8892547	41291127
886	8903716	41286341
887	8915197	41282986
888	8926809	41280216
889	8937776	41274453
890	8949183	41270699
891	8960491	41266478
892	8971897	41262688
893	8983281	41258784
894	8994528	41254233
895	9005888	41250185
896	9017225	41246015
897	9028549	41241769
898	9039943	41237828
899	9051319	41233789
900	9062454	41228634
901	9073751	41224205
902	9084943	41219285
903	9096379	41215454
904	9107810	41211585
905	9119312	41208018
906	9130882	41204743
907	9142532	41201809
908	9153562	41196065
909	9164769	41191106
910	9176012	41186296
911	9186973	41180205
912	9198337	41175909
913	9209654	41171387
914	9220933	41166680
915	9232918	41165106
916	9244073	41159815
917	9255194	41154360
918	9266369	41149131
919	9277560	41143964
920	9288969	41139746
921	9300489	41136005
922	9311889	41131714
923	9323167	41126872
924	9334961	41124291
925	9346302	41119695
926	9357891	41116172
927	9369337	41112005
928	9380472	41106463
929	9392078	41102966
930	9404966	41105057
931	9416645	41101840
932	9427911	41096801
933	9439997	41095319
934	9451188	41089926
935	9462829	41086475
936	9473980	41080878
937	9484999	41074698
938	9496394	41070137
939	9507905	41066061
940	9519543	41062517
941	9531135	41058754
942	9542705	41054885
943	9553987	41049761
944	9561425	41028128
945	9564076	40986011
946	9566807	40944319
947	9569479	40902458
948	9571891	40859570
949	9574273	40816640
950	9576854	40774642
951	9579709	40733892
952	9582457	40692764
953	9595033	40693400
954	9606800	40690584
955	9618746	40688505
956	9630407	40685202
957	9641149	40678004
958	9652443	40673120
959	9663465	40667084
960	9674522	40661183
961	9685552	40655158
962	9696570	40649069
963	9707890	40644237
964	9718804	40637694
965	9729961	40632156
966	9741758	40629278
967	9752877	40623555
968	9763673	40616480
969	9775599	40614089
970	9786890	40609043
971	9799258	40608451
972	9811062	40605497
973	9821991	40598911
974	9833170	40593346
975	9844095	40586720
976	9855177	40580735
977	9865974	40573569
978	9877735	40570349
979	9889144	40565672
980	9902015	40566973
981	9915089	40569072
982	9926892	40565947
983	9939181	40564787
984	9950831	40561004
985	9962608	40557717
986	9974768	40555975
987	9986398	40552054
988	9998207	40548849
989	10009982	40545485
990	10021720	40541954
991	10033437	40538322
992	10045770	40537161
993	10057411	40533187
994	10069016	40529054
995	10080501	40524427
996	10092030	40519959
997	10103359	40514672
998	10114793	40509797
999	10126205	40504820
1000	10137556	40499588
1001	10149279	40495826
1002	10160767	40491115
1003	10172128	40485882
1004	10183444	40480457
1005	10195059	40476209
1006	10206714	40472105
1007	10218437	40468255
1008	10230077	40464063
1009	10240261	40454101
1010	10243162	40415405
1011	10245872	40376028
1012	10249126	40338862
1013	10257305	40321125
1014	10271031	40325182
1015	10283810	40325493
1016	10297045	40327562
1017	10308531	40322763
1018	10319977	40317793
1019	10331382	40312649
1020	10343809	40311477
1021	10355185	40306192
1022	10366570	40300930
1023	10378123	40296308
1024	10389460	40290832
1025	10400758	40285200
1026	10412133	40279851
1027	10423390	40274032
1028	10434569	40267905
1029	10445565	40261062
1030	10457278	40256971
1031	10466667	40243930
1032	10475261	40227842
1033	10483692	40211147
1034	10492225	40194855
1035	10500361	40177060
1036	10508993	40161177
1037	10518012	40146786
1038	10527209	40133087
1039	10537164	40122279
1040	10547925	40114542
1041	10556614	40098925
1042	10564935	40081925
1043	10573301	40065114
1044	10581542	40047847
1045	10590049	40031600
1046	10598404	40014798
1047	10606685	39997729
1048	10615374	39982216
1049	10623778	39965643
1050	10632474	39950181
1051	10640694	39932949
1052	10648628	39914660
1053	10656884	39897596
1054	10665467	39881772
1055	10674079	39866068
1056	10682201	39848552
1057	10691883	39836867
1058	10700386	39820795
1059	10710918	39812282
1060	10719492	39796493
1061	10728004	39780490
1062	10736187	39763283
1063	10745424	39749990
1064	10754081	39734563
1065	10762701	39719013
1066	10771005	39702311
1067	10779439	39686101
1068	10788356	39671682
1069	10796244	39653497
1070	10804263	39635807
1071	10812410	39618607
1072	10820872	39602577
1073	10829029	39585445
1074	10837230	39568494
1075	10845715	39552588
1076	10853914	39535662
1077	10862203	39519075
1078	10870879	39503908
1079	10879270	39487721
1080	10887452	39470791
1081	10895828	39454579
1082	10903958	39437493
1083	10912277	39421107
1084	10920483	39404326
1085	10928776	39387872
1086	10938117	39375208
1087	10948119	39364931
1088	10957573	39352682
1089	10966549	39338722
1090	10976269	39327441
1091	10984720	39311620
1092	10993667	39297584
1093	11002297	39282426
1094	11010811	39266865
1095	11019331	39251340
1096	11027739	39235429
1097	11035990	39218973
1098	11044425	39203188
1099	11052627	39186588
1100	11060937	39170385
1101	11069174	39153940
1102	11077454	39137660
1103	11085731	39121384
1104	11093914	39104794
1105	11102021	39087949
1106	11110835	39073608
1107	11120004	39060521
1108	11128654	39045622
1109	11136966	39029547
1110	11145566	39014498
1111	11153945	38998686
1112	11162277	38982723
