iter	Accuracy	MultiClass
120	0.7839600831	0.5983691069
121	0.7842905972	0.5976424743
122	0.7845637425	0.5973483904
123	0.7846982252	0.5969622733
124	0.7849337291	0.5965493895
125	0.785127234	0.596059598
126	0.7853726993	0.5954872638
127	0.7855865151	0.5950294963
128	0.785765782	0.5946021932
129	0.7860157827	0.5940466922
130	0.7861659115	0.5934154323
131	0.7862405142	0.5930971249
132	0.7863874363	0.592608992
133	0.7867175468	0.5921057185
134	0.7867557888	0.5915784486
135	0.7867761479	0.5910683993
136	0.7869455967	0.5904191702
137	0.7872541157	0.5899164048
138	0.7871516379	0.5894845817
139	0.7873132346	0.589204355
140	0.7873348744	0.5886454755
141	0.7872290125	0.5881359969
142	0.7875903649	0.5877382065
143	0.7877546986	0.5873334331
144	0.7880220625	0.5869445603
145	0.7881203467	0.5864750537
146	0.7879873843	0.5861503895
147	0.7881837558	0.5857282374
148	0.7881500512	0.5851652599
149	0.7881815521	0.5846745731
150	0.7882474586	0.5844865445
151	0.7886278759	0.5841932909
152	0.7889615482	0.5837015647
153	0.7890207482	0.583157742
154	0.7889442332	0.5828137387
155	0.7893341907	0.5824128353
156	0.7893791529	0.5817762814
157	0.7896550835	0.5814296747
158	0.7897915751	0.5811208487
159	0.7897931282	0.5806313295
160	0.7898707596	0.5803397371
161	0.7899775623	0.5801192916
162	0.7900942934	0.5797718717
163	0.7903377982	0.5794996747
164	0.7901761686	0.5790996527
165	0.7903255364	0.5787514926
166	0.7904523582	0.5785220514
167	0.7905462364	0.5783134219
168	0.7908346067	0.5779139467
169	0.7906716966	0.5776068567
170	0.790948226	0.5771625657
171	0.7911446304	0.5768673056
172	0.7912205948	0.5765703301
173	0.7913438217	0.5760721274
174	0.7914942922	0.5757916417
175	0.7915485685	0.5755731849
176	0.7917942926	0.5752854321
177	0.7919026483	0.5749869992
178	0.7919500075	0.574589584
179	0.7919955685	0.5743769995
180	0.7920575056	0.5741332668
181	0.7921669642	0.5738409581
182	0.7922562741	0.5735815086
183	0.7922257759	0.5732830942
184	0.7923561925	0.5728701728
185	0.7925691507	0.5726443348
186	0.7927486766	0.5722878184
187	0.7927442378	0.5719742707
188	0.792797867	0.5717324744
189	0.7929540706	0.5715145698
190	0.7930504753	0.5711469587
191	0.7930065969	0.5709118961
192	0.7931886821	0.5706309267
193	0.7933997609	0.5702598431
194	0.7935720471	0.5699841178
195	0.7936303411	0.5697297416
196	0.7937901878	0.5694888972
197	0.7936812951	0.569189826
198	0.7937304855	0.5690441343
199	0.793978089	0.5688819031
200	0.7941739428	0.5686593811
201	0.7940717567	0.5684119559
202	0.7941165894	0.5679950212
203	0.7941856213	0.5677834422
204	0.7942151807	0.5674937851
205	0.7941547019	0.5672766372
206	0.7943134321	0.5669013238
207	0.7944056085	0.5666730034
